frame_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,Action Label
0,722,146.75,732,138.625,716,141.625,755,150,712.5,158.125,777,207.75,713.5,210.5,788,288,712.5,285.25,771,355.75,710.5,348.75,760.5,356.75,718.5,355.5,760.5,456.25,726.5,455,760.5,548,736,544,Walking
1,722,147.5,732,139,715.5,142.125,754.5,149.625,712,158.25,777,207.75,713,210.5,787.5,288.25,712.5,285.5,770,355.75,709.5,349.75,760,357,718,356,760.5,456.25,726.5,454.75,760.5,548,736,543.5,Walking
2,722,148.125,731.5,139.5,715.5,142.75,754,149.375,712,158.5,776.5,207.625,713,210.5,787,288.25,712,286,768.5,355.75,708,349,760,356.5,718,355.5,760.5,455.75,726.5,454.5,760.5,547.5,736,543.5,Walking
3,722,148.875,731.5,140.25,715,143.625,753.5,149.375,711.5,158.875,776,207.375,713,210.5,786,288,709.5,286,767.5,355.75,705,347.75,760,356,718,355,760.5,455,726.5,454,760.5,547,736.5,543,Walking
4,721,149.125,730.5,140.375,714.5,143.875,753,149.375,711,158.75,776,207.25,712.5,210.375,785.5,288.25,707.5,284.25,766.5,355.5,702,345.5,760,355.25,718,354.5,760.5,454.5,726.5,453,760.5,547,736.5,543,Walking
5,721,149.875,730.5,141.125,714.5,144.25,752.5,149.75,710.5,158.75,776,207.25,712.5,210.5,785,287.75,706,284,765.5,354.5,701.5,344.75,761,354.25,718.5,353.5,760.5,453,726.5,452,760.5,546.5,736.5,542,Walking
6,720.5,150.25,730,141.5,713.5,144.75,752,149.625,710,158.375,776,207.25,711.5,210.25,784.5,287.25,704.5,283.75,765,353.75,700,344,761,354,718,353.25,760.5,452.75,726.5,451.75,760.5,546.5,736.5,542,Walking
7,720,150.875,729,141.75,713,145.25,751.5,149.5,709.5,158.75,776,207.25,711,210.5,784,287.5,703,284.25,764,353.75,699.5,344.5,761,354,718,353.5,761,452.75,726.5,451.75,760.5,546.5,736.5,542.5,Walking
8,720,151.375,729,142.25,713,145.5,751,149.75,709,158.375,775.5,207.5,710,211,784,287.75,701.5,283.5,763.5,353.75,698,342.5,761,354,717.5,353.5,760.5,452.75,726.5,451.75,760,546.5,736.5,542.5,Walking
9,719.5,151.875,728.5,142.75,712,146.125,750.5,149.75,708,158.5,775.5,207.5,709,211.25,784,287.75,699.5,283.5,763.5,353.75,695.5,342.5,760.5,354,717,353.5,760.5,452.75,726,452,760,547,736.5,542.5,Walking
10,719,152.125,728,142.875,711.5,146.375,749.5,149.75,707.5,158.875,775.5,207.75,708,211.875,783.5,288,698.5,284.75,763.5,354,694.5,344,760,354,716,353.75,760.5,453,726,452,760,547,736.5,543,Walking
11,718.5,152.375,727.5,143.125,711,146.625,749,150.25,707,159,775.5,207.625,707,212.25,783.5,288,697,285,763.5,354,694,344,760,354,715,353.75,760.5,453,725.5,452.25,760,547,736.5,543,Walking
12,718,152.75,727,143.5,710.5,146.75,748.5,150.5,706,159.5,775,207.625,705,212.75,784,287.75,696,286.5,764,353.75,693,345.5,760,354,714.5,354,760.5,452.75,725,452.25,760,546.5,736,542,Walking
13,718,153.25,726.5,144,710,147.25,747.5,150.875,705,159.25,775,207.875,703,213.5,784.5,287,694,286,765,353.25,693,345.75,760,353.75,713.5,354,760.5,452.25,724.5,452,760,546.5,736,542,Walking
14,717.5,153.625,726,144.25,709,147.625,746.5,150.625,704,159.375,775,207.875,701,214.875,785,286.5,693.5,287.25,766,352.75,693,346,761,353.5,713.5,354,760.5,451.75,724,451.5,759.5,545.5,735.5,541.5,Walking
15,716.5,153.875,725.5,144.375,708,147.875,745.5,151.125,703,160.25,775,208.125,699,215.875,785.5,286.75,692.5,288.5,767.5,352.5,692,348,762,354,713.5,355,761,452,724,452,760,545.5,736,541.5,Walking
16,716,154.25,724.5,145,707.5,148.375,744.5,151.875,702,161.125,775,208,698,217.25,786,286.25,691.5,289.75,769.5,352.5,691.5,349.75,762,354.75,713,356,760,453.75,723.5,453.5,759.5,545,736.5,540.5,Walking
17,715,154.875,724,145.25,706.5,149,744,152.25,701,161.75,775.5,208.5,695.5,219.5,787,286.5,689.5,292.5,771,352.5,690.5,351.5,762.5,355.25,712.5,357,758.5,453.5,723,453.5,758.5,543,736.5,539,Walking
18,715,155.625,723.5,145.875,706,149.75,743.5,151.75,700,161.875,776,208.75,695,220.375,788,286.25,688,293.25,773,351.5,689.5,352.75,762,355.25,712,357,757,453.5,722.5,453.5,757.5,541,735.5,538,Walking
19,714.5,156,723,146.125,705.5,150.125,743.5,152.625,700,162.875,776.5,209,694,220.625,789,286.25,686.5,294.5,776,351,689,355,762.5,356.25,712.5,358,757,454.5,722,454.75,756,542,734,539,Walking
20,714.5,156.25,723,146.25,705,150.375,743,152.625,699.5,163.25,777,209.125,693,221.5,790.5,286,685.5,296,779,350.75,688,357,763,357,712.5,359,757.5,455,722.5,455.5,755.5,544,733.5,540.5,Walking
21,714.5,155.5,722.5,145.75,705,150.5,743,152.125,699.5,162.375,777,208.625,692,220.75,792.5,286,686,295.25,782.5,351.5,687.5,358,765,355.5,712.5,357.5,760,453.25,722.5,453.5,757.5,548,733.5,542,Walking
22,714.5,155.5,723,145.625,705,150.5,743,151.875,699.5,162.25,777.5,209.125,691,220.625,793.5,286.5,684.5,295,786,352.25,687,358.5,766,355.5,712.5,357.75,761,453.75,723,453.75,758,550,734,541.5,Walking
